ID,Brewery,Name,Country,Un-Subregion,Region,Style,ABV,IBU,SRM,Calories,has_yeast_data,Wheat,Corn,Rice,Oats
18,Coopers Brewery,Coopers Original Pale Ale,Australia,Australia and New Zealand,Oceania,Golden Ale,4.5,22,5,135,0,0,0,0,0
19,Brouwerij Huyghe,Delirium Red,Belgium,Western Europe,Europe,Fruit Beer,8,10,10,240,0,0,0,0,0
20,Brouwerij Huyghe,Delirium Tremens,Belgium,Western Europe,Europe,Belgian Strong Ale,8.5,50,16,255,1,0,0,0,0
21,Verhaeghe,Duchesse de Bourgogne,Belgium,Western Europe,Europe,Sour Red/Brown,6.2,6,20,186,0,0,0,0,0
22,Duvel Moortgat,Duvel,Belgium,Western Europe,Europe,Belgian Strong Ale,8.5,50,16,255,0,0,0,0,0
22,water (dH2O),,,,,,0,0,0,0,0,0,0,0,0
24,Unibroue (Sapporo),La Fin du Monde,Canada,Northern America,North America,Abbey Tripel,9,19,5.5,270,0,0,0,0,0
25,Flying Dog Brewery,Flying Dog Pale Ale,USA,Northern America,North America,American Pale Ale,5.5,35,6,165,0,0,0,0,0
26,Flying Dog Brewery,Flying Dog Snake Dog IPA,USA,Northern America,North America,IPA,7.1,60,11,213,0,0,0,0,0
27,Founders Brewing Company,Founders All Day IPA,USA,Northern America,North America,IPA,4.7,42,6,141,0,0,0,0,0
28,Founders Brewing Company,Founders Centennial IPA,USA,Northern America,North America,IPA,7.2,65,11,216,0,0,0,0,0
29,Founders Brewing Company,Founders Dirty Bastard,USA,Northern America,North America,Scotch Ale,8.5,50,13,255,0,0,0,0,0
30,Frankenheim Privatbrauerei,Frankenheim Alt,Germany,Northern America,North America,Altbier,4.8,11,11,144,0,0,0,0,0
31,St. James's Gate (Diageo),Guinness Spec. Export,Ireland,Northern Europe,Europe,Foreign Stout,8,50,35,240,0,0,0,0,0
32,Brouwerij Van Steenberge,Gulden Draak,Belgium,Western Europe,Europe,Belgian Strong Ale,10.5,28,17,315,0,0,0,0,0
33,Brouwerij Bosteels,Tripel Karmeliet,Belgium,Western Europe,Europe,Abbey Tripel,8.4,30,6,252,0,1,0,0,1
34,Brouwerij Bosteels,Pauwel Kwak,Belgium,Western Europe,Europe,Ale,8.4,50,16,252,0,1,0,0,0
35,Liefmans (Duvel-Moortgat),Liefmans Fruitesse,Belgium,Western Europe,Europe,Fruit Beer,3.8,7,6,114,0,0,0,0,0
36,John Martin,Martin's IPA,Belgium,Western Europe,Europe,IPA,6.9,36,10,207,0,0,0,0,0
37,Charles Wells,McEwan's Export,UK,Northern Europe,Europe,Bitter,4.5,24,10,135,0,0,0,0,0
38,Moosehead Brewery,Moosehead Lager,Canada,Northern America,North America,Pale Lager,5,16,3,150,0,0,0,0,0
39,Nøgne Ø (Hansa Borg),Nøgne Ø Pale Ale,Norway,Northern Europe,Europe,American Pale Ale,6,40,8,180,0,1,0,0,0
40,Officina della birra,Lisbeth,Switzerland,Western Europe,Europe,American Pale Ale,7.5,47,8,225,0,1,0,0,0
41,Brasserie d'Orval,Orval,Belgium,Western Europe,Europe,Belgian Ale,6.2,32,8,186,1,0,0,0,0
42,Pietra,Pietra,France,Western Europe,Europe,Amber Lager,6,26,12,180,0,0,0,0,0
43,Brewdog,Punk,UK,Northern Europe,Europe,IPA,5.6,40,7.6,168,0,0,0,0,0
44,Cerveceria Malteria Quilmes SAICAY (InBev),Quilmes,Argentina,South America,South America,Pale Lager,4.9,15,3,147,0,0,0,0,0
45,Desnoes and Geddes (Diageo PLC),Red Stripe,Jamaica,Caribbean,North America,Pale Lager,4.7,17,3,141,0,0,0,0,0
46,Brasserie Rochefort,Rochefort Trappistes 10,Belgium,Western Europe,Europe,Abt/Quadrupel,11.3,30,40,339,0,0,0,0,0
47,Sabeco,Saigon Export,Vietnam,South-eastern Asia,Asia,Pale Lager,4.9,15,3,147,0,0,0,1,0
48,Sierra Nevada Brewing Company,Sierra Nevada Pale Ale,USA,Northern America,North America,American Pale Ale,5.6,37,8,168,0,0,0,0,0
49,Sierra Nevada Brewing Company,Sierra Nevada Torpedo Extra IPA,USA,Northern America,North America,IPA,7.2,65,11,216,0,0,0,0,0
